index,score,count,distribution,group
0,0.2,53,0.0007777761472198172,poor
1,0.3,1084,0.01590772346389211,poor
2,0.4,4045,0.05936046255668227,poor
3,0.5,8534,0.1252366347240362,poor
4,0.6,13896,0.20392410078804865,poor
5,0.7,19226,0.28214196615940007,medium
6,0.8,13890,0.20383605065817473,medium
7,0.9,5526,0.08109416961390017,high
8,1.0,1889,0.027721115888645936,high
